  PID TTY           TIME CMD
  312 ??         0:03.07 /System/Library/CoreServices/Menu Extras/TextInput.menu/Contents/SharedSupport/TISwitcher.app/Contents/MacOS/TISwitcher
  313 ??         0:04.12 /Users/Lai/Library/PreferencePanes/AppTrap.prefPane/Contents/Resources/AppTrap.app/Contents/MacOS/AppTrap
  314 ??         1:33.87 /Applications/Utilities/Activity Monitor.app/Contents/MacOS/Activity Monitor
  326 ??         0:00.16 /System/Library/CoreServices/CrashReporterSupportHelper server-init
  328 ??         7:05.53 /Applications/Mail.app/Contents/MacOS/Mail
  329 ??         0:02.05 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/SpeechSynthesis.framework/Versions/A/SpeechSynthesisServer.app/Contents/MacOS/SpeechSynthesisServer launchd
  341 ??         0:00.45 /Library/CoreMediaIO/Plug-Ins/DAL/AppleCamera.plugin/Contents/Resources/AppleCameraAssistant
  355 ??         0:00.69 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdflagwriter
  359 ??         0:00.09 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storelegacy
  361 ??         0:11.81 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeassetd
  364 ??         0:02.14 /System/Library/PrivateFrameworks/CommerceKit.framework/Resources/LaterAgent.app/Contents/MacOS/LaterAgent
  365 ??         0:07.64 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storedownloadd
  369 ??         0:00.17 /usr/libexec/USBAgent
  370 ??         0:00.18 /System/Library/Frameworks/DiskArbitration.framework/Versions/A/Support/DiskArbitrationAgent
  371 ??         0:00.20 /System/Library/PrivateFrameworks/KerberosHelper/Helpers/DiskUnmountWatcher
  379 ??         0:09.16 /System/Library/CoreServices/SubmitDiagInfo server-init
  403 ??         0:32.28 /System/Library/CoreServices/Dock.app/Contents/Resources/DashboardClient.app/Contents/MacOS/DashboardClient
  473 ??         0:06.79 /Applications/Parallels Desktop.app/Contents/MacOS/prl_event_tap
  479 ??         0:00.08 /Applications/Parallels Desktop.app/Contents/MacOS/prl_naptd proxy
  529 ??         9:20.07 /Applications/Parallels Desktop.app/Contents/MacOS/Parallels Service.app/Contents/MacOS/prl_disp_service -e --logfile /var/log/prl_disp_service_server.log --pidfile /var/run/prl_disp_service.pid 
  601 ??         0:00.99 /bin/bash /Applications/Parallels Desktop.app/Contents/MacOS/watchdog start 60 20 /Applications/Parallels Desktop.app/Contents/MacOS/prl_naptd start
  625 ??         1:29.47 /Applications/Parallels Desktop.app/Contents/MacOS/prl_naptd start
  639 ??         0:00.20 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker -s mdworker-sizing -c MDSSizingWorker -m com.apple.mdworker.sizing
  727 ??         0:01.75 /System/Library/Services/AppleSpell.service/Contents/MacOS/AppleSpell -psn_0_270402
  750 ??         0:00.13 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker -s mdworker-sizing -c MDSSizingWorker -m com.apple.mdworker.sizing
  968 ??         4:08.08 /Applications/GitHub.app/Contents/MacOS/GitHub
  987 ??         0:08.55 /usr/bin/ssh-agent -l
 1040 ??         0:00.16 /System/Library/Frameworks/InputMethodKit.framework/Resources/imklaunchagent
 1041 ??         0:15.80 /Library/Input Methods/SogouInput.app/Contents/MacOS/SogouInput
 1191 ??         2:44.12 /Applications/Skype.app/Contents/MacOS/Skype
 1433 ??         0:00.03 /usr/libexec/syspolicyd
 1439 ??         0:00.01 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdflagwriter
 1546 ??         0:07.88 /System/Library/PrivateFrameworks/Noticeboard.framework/Versions/A/Resources/nbagent.app/Contents/MacOS/nbagent
 1548 ??         0:00.06 /System/Library/PrivateFrameworks/Noticeboard.framework/Versions/A/Resources/nbstated
 1707 ??         0:02.12 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeuid.app/Contents/MacOS/storeuid
 2087 ??         3:07.13 /Applications/QQMusic.app/Contents/MacOS/QQMusic
 2190 ??         0:01.47 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
 2191 ??         0:00.06 /System/Library/PrivateFrameworks/SoftwareUpdate.framework/Resources/suhelperd
 2205 ??         0:02.24 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/installd
 2222 ??         0:42.71 /Applications/WeChat.app/Contents/MacOS/WeChat
 2445 ??         0:00.53 /System/Library/Frameworks/CoreMediaIO.framework/Resources/VDC.plugin/Contents/Resources/VDCAssistant
 2689 ??         0:10.46 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
 2692 ??         0:10.09 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
 2903 ??         6:54.51 /Applications/Safari.app/Contents/MacOS/Safari
 2906 ??         2:35.63 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking
 3253 ??        14:28.00 /Applications/Parallels Desktop.app/Contents/MacOS/prl_client_app
 3406 ??         0:00.04 /System/Library/PrivateFrameworks/HelpData.framework/Versions/A/Resources/helpd
 3509 ??         0:05.41 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
 3534 ??         0:05.11 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
 3539 ??         0:06.74 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
 3540 ??         0:05.36 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
 4168 ??         0:21.08 /Applications/Sublime Text.app/Contents/MacOS/Sublime Text
 4174 ??         0:03.25 /Applications/Sublime Text.app/Contents/MacOS/plugin_host 4168
 4386 ??         0:14.90 /usr/sbin/cfprefsd agent
 4838 ??        15:12.41 /Applications/Parallels Desktop.app/Contents/MacOS//Parallels VM.app/Contents/MacOS/prl_vm_app --uuid {58c68562-5e7d-4957-b03a-e3f93c6d1c58} --dir-uuid {0f774117-9fc4-419e-8db7-41dba096a582} --mode pdfm
 4929 ??         0:00.71 /Users/Lai/Documents/Parallels/Windows 10.pvm/Windows 10.app/Contents/MacOS/WinAppHelper 
 4930 ??         0:00.56 /Users/Lai/Documents/Parallels/Windows 10.pvm/Windows 10.app/Contents/MacOS/WinAppHelper --fakestub
 5121 ??         0:15.48 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
 5216 ??         0:02.65 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
 5241 ??         0:03.82 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
 5242 ??         0:08.67 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
 5243 ??         0:01.46 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Plugin.64.xpc/Contents/MacOS/com.apple.WebKit.Plugin.64
 5325 ??         0:03.49 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
 5354 ??         0:01.41 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
 5359 ??         0:18.34 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
 5471 ??         0:07.89 /Applications/iTunes.app/Contents/MacOS/iTunes
